Away Team,Away Team Score,Away Team Implied Score,Home Team,Home Team Score,Home Team Implied Score,Spread (Relative to Home Team),Actual Spread (Relative to Home Team),Vegas Over/Under,Actual Total Points,Date,Information
New York Giants,24,18.75,Philadelphia Eagles,27,24.25,-5.5,-3,43,51,09-24-2017,"NFL WEEK 3 - Sunday, September 24th"
Seattle Seahawks,27,21.5,Tennessee Titans,33,22.5,-1,-6,44,60,09-24-2017,"NFL WEEK 3 - Sunday, September 24th"
Kansas City Chiefs,24,21,Los Angeles Chargers,10,24.5,3.5,14,45.5,34,09-24-2017,"NFL WEEK 3 - Sunday, September 24th"
Cincinnati Bengals,24,18.25,Green Bay Packers,27,27.25,-9,-3,45.5,51,09-24-2017,"NFL WEEK 3 - Sunday, September 24th"
Oakland Raiders,10,25,Washington Redskins,27,28.5,3.5,-17,53.5,37,09-24-2017,"NFL WEEK 3 - Sunday, September 24th"
Dallas Cowboys,28,22,Arizona Cardinals,17,25.5,3.5,11,47.5,45,09-25-2017,"NFL WEEK 3 - Monday, September 25th"
Chicago Bears,N/A,19,Green Bay Packers,N/A,26.5,-7.5,N/A,45.5,N/A,09-26-2017,"NFL WEEK 4 - Thursday, September 28th"
Chicago Bears,N/A,19,Green Bay Packers,N/A,26.5,-7.5,N/A,45.5,N/A,09-27-2017,"NFL WEEK 4 - Thursday, September 28th"
Chicago Bears,N/A,19,Green Bay Packers,N/A,26.5,-7.5,N/A,45.5,N/A,09-28-2017,"NFL WEEK 4 - Thursday, September 28th"
Chicago Bears,N/A,19,Green Bay Packers,N/A,26.5,-7.5,N/A,45.5,N/A,09-29-2017,"NFL WEEK 4 - Thursday, September 28th"
Chicago Bears,N/A,19,Green Bay Packers,N/A,26.5,-7.5,N/A,45.5,N/A,09-30-2017,"NFL WEEK 4 - Thursday, September 28th"
New Orleans Saints,N/A,24,Miami Dolphins,N/A,26,2,N/A,50,N/A,10-01-2017,"NFL WEEK 4 - Sunday, October 1st"
Carolina Panthers,N/A,19.5,New England Patriots,N/A,27.5,-8,N/A,47,N/A,10-01-2017,"NFL WEEK 4 - Sunday, October 1st"
Los Angeles Rams,N/A,19,Dallas Cowboys,N/A,27,-8,N/A,46,N/A,10-01-2017,"NFL WEEK 4 - Sunday, October 1st"
Detroit Lions,N/A,N/A,Minnesota Vikings,N/A,N/A,N/A,N/A,N/A,N/A,10-01-2017,"NFL WEEK 4 - Sunday, October 1st"
Tennessee Titans,N/A,21.5,Houston Texans,N/A,22.5,1,N/A,44,N/A,10-01-2017,"NFL WEEK 4 - Sunday, October 1st"
Jacksonville Jaguars,N/A,18.25,New York Jets,N/A,21.75,3.5,N/A,40,N/A,10-01-2017,"NFL WEEK 4 - Sunday, October 1st"
Cincinnati Bengals,N/A,18,Cleveland Browns,N/A,22,4,N/A,40,N/A,10-01-2017,"NFL WEEK 4 - Sunday, October 1st"
Pittsburgh Steelers,N/A,21.5,Baltimore Ravens,N/A,23.5,2,N/A,45,N/A,10-01-2017,"NFL WEEK 4 - Sunday, October 1st"
Buffalo Bills,N/A,20.5,Atlanta Falcons,N/A,28.5,-8,N/A,49,N/A,10-01-2017,"NFL WEEK 4 - Sunday, October 1st"
New York Giants,N/A,19.75,Tampa Bay Buccaneers,N/A,23.75,-4,N/A,43.5,N/A,10-01-2017,"NFL WEEK 4 - Sunday, October 1st"
Philadelphia Eagles,N/A,22.75,Los Angeles Chargers,N/A,23.75,-1,N/A,46.5,N/A,10-01-2017,"NFL WEEK 4 - Sunday, October 1st"
San Francisco 49ers,N/A,18.75,Arizona Cardinals,N/A,25.75,-7,N/A,44.5,N/A,10-01-2017,"NFL WEEK 4 - Sunday, October 1st"
Oakland Raiders,N/A,22.25,Denver Broncos,N/A,24.75,-2.5,N/A,47,N/A,10-01-2017,"NFL WEEK 4 - Sunday, October 1st"
Indianapolis Colts,N/A,14,Seattle Seahawks,N/A,27,-13,N/A,41,N/A,10-01-2017,"NFL WEEK 4 - Sunday, October 1st"
Washington Redskins,N/A,21,Kansas City Chiefs,N/A,28,-7,N/A,49,N/A,10-02-2017,"NFL WEEK 4 - Monday, October 2nd"
Chicago Bears,N/A,19,Green Bay Packers,N/A,26.5,-7.5,N/A,45.5,N/A,10-03-2017,"NFL WEEK 4 - Thursday, September 28th"
