Week,Year,GID,First Name,Last Name,Pos,Team,h/a,Oppt,DK points,DK salary
1,2017,5575, Austin,Ekeler,RB,lac,a,den,3.8,3000
1,2017,2908, Kyle,Juszczyk,RB,sfo,h,car,3.7,3000
1,2017,5566, Matthew,Dayes,RB,cle,h,pit,3.6,3000
1,2017,2928, Jeremy,Hill,RB,cin,h,bal,3.4,4400
1,2017,2890, Rex,Burkhead,RB,nwe,h,kan,3.3,4400
1,2017,2629, Jamaal,Charles,RB,den,h,lac,3,4200
1,2017,5493, Rob,Kelley,RB,was,h,phi,3,4300
1,2017,5445, Derrick,Henry,RB,ten,h,oak,2.5,5500
1,2017,2976, Orleans,Darkwa,RB,nyg,a,dal,2.3,3100
1,2017,5483, Dwayne,Washington,RB,det,h,ari,2.2,3300
1,2017,5473, Wendell,Smallwood,RB,phi,a,was,1.9,3800
1,2017,2553, Adrian,Peterson,RB,nor,a,min,1.8,4500
1,2017,2805, Patrick,DiMarco,RB,buf,h,nyj,1.5,3000
1,2017,2867, Robert,Turbin,RB,ind,a,lar,1.3,4000
1,2017,5567, Matt,Breida,RB,sfo,h,car,1.1,3000
1,2017,5537, James,Conner,RB,pit,a,cle,1.1,4500
1,2017,5448, C.J.,Prosise,RB,sea,a,gnb,1.1,4100
1,2017,2982, Branden,Oliver,RB,lac,a,den,1,4000
1,2017,5541, Jamaal,Williams,RB,gnb,h,sea,0.9,3900
1,2017,2816, Dion,Lewis,RB,nwe,h,kan,0.9,3800
1,2017,5415, Michael,Burton,RB,chi,h,atl,0.7,3000
1,2017,2899, Latavius,Murray,RB,min,h,nor,0.6,4200
1,2017,5539, D'Onta,Foreman,RB,hou,h,jac,0.4,4100
1,2017,2896, Eddie,Lacy,RB,sea,a,gnb,0.3,5000
1,2017,2549, John,Kuhn,RB,nor,a,min,0.2,3000
1,2017,5568, Justin,Davis,RB,lar,h,ind,0.1,3000
1,2017,2916, Fozzy,Whittaker,RB,car,a,sfo,0.1,3700
1,2017,2871, Alfred,Morris,RB,dal,h,nyg,0.1,4400
1,2017,5414, Raheem,Mostert,RB,sfo,h,car,0,3000
1,2017,2825, James,Develin,RB,nwe,h,kan,0,3000
1,2017,5405, Corey,Grant,RB,jac,a,hou,0,3000
1,2017,5375, Terron,Ward,RB,atl,a,chi,0,3000
1,2017,2840, Jordan,Todman,RB,hou,h,jac,0,3000
1,2017,5374, Terrell,Watson,RB,pit,a,cle,0,3000
1,2017,5573, Trey,Edmunds,RB,nor,a,min,0,3000
1,2017,2911, Benny,Cunningham,RB,chi,h,atl,0,3600
1,2017,5544, Elijah,McGuire,RB,nyj,a,buf,0,3500
1,2017,2822, Anthony,Sherman,RB,kan,a,nwe,0,3000
1,2017,2874, Brandon,Bolden,RB,nwe,h,kan,0,3000
1,2017,5504, Derek,Watt,RB,lac,a,den,0,3000
1,2017,5492, Keith,Smith,RB,dal,h,nyg,0,3000
1,2017,5403, Roosevelt,Nix,RB,pit,a,cle,0,3000
1,2017,5546, Devante,Mays,RB,gnb,h,sea,0,3500
1,2017,5561, De'Angelo,Henderson,RB,den,h,lac,0,3600
1,2017,2905, Joe,Banyard,RB,buf,h,nyj,0,3000
1,2017,2820, Taiwan,Jones,RB,buf,h,nyj,0,3000
1,2017,3191, Rod,Smith,RB,dal,h,nyg,0,3900
1,2017,5538, Samaje,Perine,RB,was,h,phi,0,4200
1,2017,2909, Derrick,Coleman,RB,atl,a,chi,0,3000
1,2017,5482, Andy,Janovich,RB,den,h,lac,0,3000
1,2017,5413, Jalston,Fowler,RB,ten,h,oak,0,3000
1,2017,5406, Aaron,Ripkowski,RB,gnb,h,sea,0,3000
1,2017,2980, Jay,Prosch,RB,hou,h,jac,0,3000
1,2017,5517, Dan,Vitale,RB,cle,h,pit,0,3000
1,2017,3474, Antonio,Brown,WR,pit,a,cle,32.2,8800
1,2017,5485, Tyreek,Hill,WR,kan,a,nwe,29.8,5700
1,2017,5424, Stefon,Diggs,WR,min,h,nor,27.7,6000
1,2017,5333, Adam,Thielen,WR,min,h,nor,27.7,4800
1,2017,3995, Golden,Tate,WR,det,h,ari,24.4,6500
1,2017,5554, Kenny,Golladay,WR,det,h,ari,22.9,3600
1,2017,3751, Jordy,Nelson,WR,gnb,h,sea,20.9,7600
1,2017,5378, Nelson,Agholor,WR,phi,a,was,20.6,3800
1,2017,3851, Danny,Amendola,WR,nwe,h,kan,19,4300
1,2017,5206, DeAndre,Hopkins,WR,hou,h,jac,18.5,5900
1,2017,5552, Cooper,Kupp,WR,lar,h,ind,17.6,3700
1,2017,5125, Randall,Cobb,WR,gnb,h,sea,17.5,5300
1,2017,5376, Amari,Cooper,WR,oak,a,ten,17.2,7200
1,2017,5353, Bennie,Fowler,WR,den,h,lac,17.1,3000
1,2017,5452, Corey,Coleman,WR,cle,h,pit,16.3,4400
1,2017,5409, J.J.,Nelson,WR,ari,a,det,15.3,3700
1,2017,5198, Keenan,Allen,WR,lac,a,den,14.5,6100
1,2017,3872, Michael,Crabtree,WR,oak,a,ten,14.3,6000
1,2017,3754, Pierre,Garcon,WR,sfo,h,car,14.1,5300
1,2017,3830, Jeremy,Maclin,WR,bal,a,cin,13.6,5000
1,2017,3501, Larry,Fitzgerald,WR,ari,a,det,13.4,5900
1,2017,5173, Travis,Benjamin,WR,lac,a,den,13.3,3400
1,2017,5223, Russell,Shepard,WR,car,a,sfo,13.3,3300
1,2017,5186, Jermaine,Kearse,WR,nyj,a,buf,12.9,3400
1,2017,5550, Corey,Davis,WR,ten,h,oak,12.9,4000
1,2017,5216, Terrance,Williams,WR,dal,h,nyg,12.8,3800
1,2017,1407, Terrelle,Pryor,WR,was,h,phi,12.6,6100
1,2017,5091, A.J.,Green,WR,cin,h,bal,12.4,8000
1,2017,5182, Rishard,Matthews,WR,ten,h,oak,12.1,4200
1,2017,5456, Sterling,Shepard,WR,nyg,a,dal,12,4100
1,2017,5255, Brandin,Cooks,WR,nwe,h,kan,11.8,7700
1,2017,5168, Marvin,Jones,WR,det,h,ari,11.7,4100
1,2017,3997, Demaryius,Thomas,WR,den,h,lac,11.7,6300
1,2017,5252, Sammy,Watkins,WR,lar,h,ind,10.8,6200
1,2017,5159, Mohamed,Sanu,WR,atl,a,chi,10.7,4200
1,2017,5089, Julio,Jones,WR,atl,a,chi,10.6,8500
1,2017,5432, Tyrell,Williams,WR,lac,a,den,10.4,4900
1,2017,2580, Ryan,Grant,WR,was,h,phi,10.1,3400
1,2017,5136, Doug,Baldwin,WR,sea,a,gnb,10,6700
1,2017,5260, Paul,Richardson,WR,sea,a,gnb,9.9,3700
1,2017,3670, Ted,Ginn Jr.,WR,nor,a,min,9.8,4200
1,2017,5459, Michael,Thomas,WR,nor,a,min,9.5,7400
1,2017,5508, Roger,Lewis,WR,nyg,a,dal,9.4,3300
1,2017,5408, Seth,Roberts,WR,oak,a,ten,8.9,3300
1,2017,5153, Alshon,Jeffery,WR,phi,a,was,8.8,5800
1,2017,5339, Albert,Wilson,WR,kan,a,nwe,8.7,3200
1,2017,5217, Robert,Woods,WR,lar,h,ind,8.3,4000
1,2017,5264, John,Brown,WR,ari,a,det,8.2,4800
1,2017,5254, Jordan,Matthews,WR,buf,h,nyj,8.1,4400
1,2017,5263, Davante,Adams,WR,gnb,h,sea,7.7,5200
1,2017,5151, T.Y.,Hilton,WR,ind,a,lar,7.7,6900
1,2017,5341, Allen,Hurns,WR,jac,a,hou,7.2,3500
1,2017,5496, Tommylee,Lewis,WR,nor,a,min,7.2,3000
1,2017,5177, Andre,Holmes,WR,buf,h,nyj,7.1,3000
1,2017,5361, Taylor,Gabriel,WR,atl,a,chi,6.6,4000
1,2017,5162, Kendall,Wright,WR,chi,h,atl,6.4,3200
1,2017,5385, Chris,Conley,WR,kan,a,nwe,6.3,3300
1,2017,3891, Dez,Bryant,WR,dal,h,nyg,6.3,7500
1,2017,5502, Robby,Anderson,WR,nyj,a,buf,6.2,3800
1,2017,5163, Cole,Beasley,WR,dal,h,nyg,6.2,4700
1,2017,5344, Donte,Moncrief,WR,ind,a,lar,6,5000
1,2017,5191, Josh,Bellamy,WR,chi,h,atl,5.7,3000
1,2017,3983, Emmanuel,Sanders,WR,den,h,lac,5.6,5200
1,2017,3946, Brandon,LaFell,WR,cin,h,bal,5.4,3700
1,2017,5481, Ricardo,Louis,WR,cle,h,pit,5.2,3000
1,2017,5458, T.J.,Jones,WR,det,h,ari,5.2,
1,2017,5205, Marquise,Goodwin,WR,sfo,h,car,5.1,3200
1,2017,5219, Brice,Butler,WR,dal,h,nyg,4,3000
1,2017,3902, Eric,Decker,WR,ten,h,oak,4,5000
