"Rank","Player","Matchup","Salary","Avg","Prob","Status"
70,"Jake Layman","OKC@POR 11/05/2017 09:00PM ET",3000,5.25,0,""
71,"Pau Gasol","PHO@SA 11/05/2017 07:00PM ET",5900,27.944,0,""
72,"Rudy Gay","PHO@SA 11/05/2017 07:00PM ET",5300,25.222,0,""
73,"Davis Bertans","PHO@SA 11/05/2017 07:00PM ET",3000,5.25,0,""
74,"Matt Costello","PHO@SA 11/05/2017 07:00PM ET",3000,0,0,""
75,"Pascal Siakam","WAS@TOR 11/05/2017 06:00PM ET",3800,19.5,0,""
76,"Malcolm Miller","WAS@TOR 11/05/2017 06:00PM ET",3000,0,0,"GTD"
77,"OG Anunoby","WAS@TOR 11/05/2017 06:00PM ET",3000,13.031,0,""
78,"Alfonzo McKinnie","WAS@TOR 11/05/2017 06:00PM ET",3000,4.5,0,""
79,"Derrick Favors","UTA@HOU 11/05/2017 07:00PM ET",4700,21.528,0,""
80,"Jonas Jerebko","UTA@HOU 11/05/2017 07:00PM ET",3500,7.063,0,""
81,"Ekpe Udoh","UTA@HOU 11/05/2017 07:00PM ET",3000,9.75,0,""
82,"Eric Griffin","UTA@HOU 11/05/2017 07:00PM ET",3000,0,0,""
83,"Tony Bradley","UTA@HOU 11/05/2017 07:00PM ET",3000,0,0,""
84,"Markieff Morris","WAS@TOR 11/05/2017 06:00PM ET",4800,11,0,""
85,"Jason Smith","WAS@TOR 11/05/2017 06:00PM ET",3900,7.313,0,""
86,"Mike Scott","WAS@TOR 11/05/2017 06:00PM ET",3500,15.281,0,""
87,"Mike Young","WAS@TOR 11/05/2017 06:00PM ET",3000,0,0,""
88,"Chris McCullough","WAS@TOR 11/05/2017 06:00PM ET",3000,8.75,0,""
