"Rank","Player","Matchup","Salary","Avg","Prob","Status"
70,"Manu Ginobili","PHO@SA 11/05/2017 07:00PM ET",3600,15.781,0,""
71,"Davis Bertans","PHO@SA 11/05/2017 07:00PM ET",3000,5.25,0,""
72,"Darrun Hilliard","PHO@SA 11/05/2017 07:00PM ET",3000,0,0,""
73,"Norman Powell","WAS@TOR 11/05/2017 06:00PM ET",3700,17.313,0,""
74,"C.J. Miles","WAS@TOR 11/05/2017 06:00PM ET",3600,16.357,0,"GTD"
75,"OG Anunoby","WAS@TOR 11/05/2017 06:00PM ET",3000,13.031,0,""
76,"Bruno Caboclo","WAS@TOR 11/05/2017 06:00PM ET",3000,2.375,0,""
77,"Joe Ingles","UTA@HOU 11/05/2017 07:00PM ET",5000,26.639,0,""
78,"Rodney Hood","UTA@HOU 11/05/2017 07:00PM ET",4800,21.393,0,""
79,"Thabo Sefolosha","UTA@HOU 11/05/2017 07:00PM ET",3900,17.139,0,""
80,"Jonas Jerebko","UTA@HOU 11/05/2017 07:00PM ET",3500,7.063,0,""
81,"Royce O'Neale","UTA@HOU 11/05/2017 07:00PM ET",3000,1.625,0,""
82,"Eric Griffin","UTA@HOU 11/05/2017 07:00PM ET",3000,0,0,""
83,"Kelly Oubre Jr.","WAS@TOR 11/05/2017 06:00PM ET",5200,24.781,0,""
84,"Markieff Morris","WAS@TOR 11/05/2017 06:00PM ET",4800,11,0,""
