"Rank","Player","Matchup","Salary","Prob"
78,"Michael Campanaro","BAL@GB 11/19/2017 01:00PM ET",3000,0
79,"Chris Moore","BAL@GB 11/19/2017 01:00PM ET",3000,0
80,"Breshad Perriman","BAL@GB 11/19/2017 01:00PM ET",3000,0
81,"Bruce Ellington","ARI@HOU 11/19/2017 01:00PM ET",3000,0
82,"Braxton Miller","ARI@HOU 11/19/2017 01:00PM ET",3000,0
83,"Brittan Golden","ARI@HOU 11/19/2017 01:00PM ET",3000,0
84,"Chad Williams","ARI@HOU 11/19/2017 01:00PM ET",3000,0
85,"Pharoh Cooper","LAR@MIN 11/19/2017 01:00PM ET",3000,0
86,"Josh Reynolds","LAR@MIN 11/19/2017 01:00PM ET",3000,0
87,"Tavon Austin","LAR@MIN 11/19/2017 01:00PM ET",3000,0
88,"Laquon Treadwell","LAR@MIN 11/19/2017 01:00PM ET",3000,0
89,"Stacy Coley","LAR@MIN 11/19/2017 01:00PM ET",3000,0
90,"Jarius Wright","LAR@MIN 11/19/2017 01:00PM ET",3000,0
91,"Michael Floyd","LAR@MIN 11/19/2017 01:00PM ET",3000,0
92,"Austin Carr","WAS@NO 11/19/2017 01:00PM ET",3000,0
93,"Tommylee Lewis","WAS@NO 11/19/2017 01:00PM ET",3000,0
94,"Brian Quick","WAS@NO 11/19/2017 01:00PM ET",3000,0
95,"Maurice Harris","WAS@NO 11/19/2017 01:00PM ET",3000,0
96,"Jehu Chesson","KC@NYG 11/19/2017 01:00PM ET",3000,0
97,"De'Anthony Thomas","KC@NYG 11/19/2017 01:00PM ET",3000,0
98,"Roger Lewis","KC@NYG 11/19/2017 01:00PM ET",3000,0
99,"Travis Rudolph","KC@NYG 11/19/2017 01:00PM ET",3000,0
100,"Ed Eagan","KC@NYG 11/19/2017 01:00PM ET",3000,0
101,"Brandon Tate","BUF@LAC 11/19/2017 04:05PM ET",3000,0
102,"Walter Powell","BUF@LAC 11/19/2017 04:05PM ET",3000,0
103,"Andre Holmes","BUF@LAC 11/19/2017 04:05PM ET",3000,0
104,"Geremy Davis","BUF@LAC 11/19/2017 04:05PM ET",3000,0
105,"John Ross","CIN@DEN 11/19/2017 04:25PM ET",3000,0
106,"Cody Core","CIN@DEN 11/19/2017 04:25PM ET",3000,0
107,"Alex Erickson","CIN@DEN 11/19/2017 04:25PM ET",3000,0
108,"Josh Malone","CIN@DEN 11/19/2017 04:25PM ET",3000,0
109,"Jordan Taylor","CIN@DEN 11/19/2017 04:25PM ET",3000,0
110,"Cody Latimer","CIN@DEN 11/19/2017 04:25PM ET",3000,0
111,"Isaiah McKenzie","CIN@DEN 11/19/2017 04:25PM ET",3000,0
112,"Cordarrelle Patterson","NE@OAK 11/19/2017 04:25PM ET",3000,0
113,"Seth Roberts","NE@OAK 11/19/2017 04:25PM ET",3000,0
114,"Johnny Holton","NE@OAK 11/19/2017 04:25PM ET",3000,0
115,"Matthew Slater","NE@OAK 11/19/2017 04:25PM ET",3000,0
116,"Rashawn Scott","TB@MIA 11/19/2017 01:00PM ET",3000,0
117,"Jakeem Grant","TB@MIA 11/19/2017 01:00PM ET",3000,0
118,"Leonte Carroo","TB@MIA 11/19/2017 01:00PM ET",3000,0
119,"Isaiah Ford","TB@MIA 11/19/2017 01:00PM ET",3000,0
120,"Bernard Reedy","TB@MIA 11/19/2017 01:00PM ET",3000,0
121,"Freddie Martino","TB@MIA 11/19/2017 01:00PM ET",3000,0
